ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
A11_Londo,A11_Londo,,4.89504,9.15209,orok1266,,Oroko
A121_Mbonge,A121_Mbonge,,4.89504,9.15209,orok1266,,Oroko
A122_Bakundu,A122_Bakundu,,4.89504,9.15209,orok1266,,Oroko
A141_Lefo,A141_Lefo,,4.53307,9.522,bafa1247,,Bafaw-Balong
A15_Manenguba,A15_Manenguba,,5.13981,9.92766,mboc1235,,Mbo (Cameroon)
A151_Nkongho,A151_Nkongho,,5.33848,9.80096,nkon1247,,Nkongho
A15A_Mbuu,A15A_Mbuu,,4.53307,9.522,bafa1247,,Bafaw-Balong
A15B_Mienge_NW_Manenguba,A15B_Mienge_NW_Manenguba,,5.23655,9.52275,bass1260,,Bassossi
A15C_Akossi,A15C_Akossi,,4.9243,9.65522,akoo1248,,Akoose
A15C_Elung_Central_Manenguba,A15C_Elung_Central_Manenguba,,4.9243,9.65522,akoo1248,,Akoose
A15C_Mkaa,A15C_Mkaa,,4.79991,9.80402,baka1273,,Bakaka
A22_Bakweri,A22_Bakweri,,4.24178,9.23887,mokp1239,,Mokpwe
A24_Duala,A24_Duala,,4.10208,9.61877,dual1243,,Duala
A27_Malimba,A27_Malimba,,3.67696,9.67186,mali1280,,Malimba
A31_Bubi,A31_Bubi,,-1.16762,12.32251,bubi1250,,Bubi
A32C_Batanga,A32C_Batanga,,1.397041,9.51011,bata1285,,Batanga
A33a_Yasa,A33a_Yasa,,2.06043,10.678,yasa1242,,Yasa
A34_Benga,A34_Benga,,1.075766,9.600739,beng1282,,Benga
A41_Barombi-Kang,A41_Barombi-Kang,,4.64584,9.25261,baro1252,,Barombi
A42_Abo,A42_Abo,,4.3702,9.6403,bank1256,,Bankon
A43a_Basaa,A43a_Basaa,,3.80765,10.4213,basa1284,,Basa (Cameroon)
A44_Tunen,A44_Tunen,,4.75,10.67,tune1261,,Tunen
A45_Nyokon,A45_Nyokon,,4.75,10.5,nyok1243,,Nyokon
A46_Nomaande,A46_Nomaande,,4.5893,10.9157,noma1260,,Nomaande
A462_Yambeta,A462_Yambeta,,4.83615,10.9369,yamb1252,,Yambeta
A51_Bafia_maja,A51_Bafia_maja,,5.05845,11.114,lefa1242,,Lefa
A53_Bafia_rikpa,A53_Bafia_rikpa,,4.72603,11.0982,bafi1243,,Bafia
A54_Tibea,A54_Tibea,,5.30535,11.3103,tibe1274,,Tibea
A601_Tuki,A601_Tuki,,4.64348,11.5353,tuki1240,,Tuki
A61_Ngoro-Asom,A61_Ngoro-Asom,,4.64348,11.5353,tuki1240,,Tuki
A61_Ngoro-Bisoo,A61_Ngoro-Bisoo,,4.64348,11.5353,tuki1240,,Tuki
A61_Ngoro-lunda,A61_Ngoro-lunda,,4.64348,11.5353,tuki1240,,Tuki
A621_Nubaca,A621_Nubaca,,4.35696,11.029,nuba1241,,Nubaca
A622_Nugunu,A622_Nugunu,,4.63103,11.1837,nugu1242,,Nugunu (Cameroon)
A62A_Nuasue,A62A_Nuasue,,4.41971,11.0277,yang1293,,Yangben
A62A_Nukalonge,A62A_Nukalonge,,4.41971,11.0277,yang1293,,Yangben
A62B_Mmala,A62B_Mmala,,4.52188,11.0599,mmaa1238,,Mmaala
A62C_Libie,A62C_Libie,,4.45694,11.193,elip1238,,Elip
A63_Mangisa,A63_Mangisa,,4.57457,11.405,leti1245,,Leti (Cameroon)
A71_Eton,A71_Eton,,4.21045,11.3935,eton1253,,Eton-Mengisa
A72a_Ewondo,A72a_Ewondo,,4.21141,11.93646,ewon1239,,Ewondo
A74a_Bulu,A74a_Bulu,,3.16141,11.6365,bulu1251,,Bulu (Cameroon)
A75a_Fang_Bitam,A75a_Fang_Bitam,,1.723965,11.61454,fang1246,,Fang (Equatorial Guinea)
A75a_Fang_Medouneu,A75a_Fang_Medouneu,,1.723965,11.61454,fang1246,,Fang (Equatorial Guinea)
A75a_Fang_Minvoul,A75a_Fang_Minvoul,,1.723965,11.61454,fang1246,,Fang (Equatorial Guinea)
A803_Shiwa,A803_Shiwa,,4.15471,13.0789,maka1304,,Makaa
A81_Kwasio,A81_Kwasio,,2.39354,10.0812,kwas1243,,Kwasio
A83_Mekaa,A83_Mekaa,,4.15471,13.0789,maka1304,,Makaa
A832_Bekol,A832_Bekol,,3.65994,12.8574,kolc1235,,Kol (Cameroon)
A84_Njem,A84_Njem,,3.25933,13.54152,koon1245,,Koonzime
A841_Badwe,A841_Badwe,,3.25933,13.54152,koon1245,,Koonzime
A85b_Bekwil_Makokou,A85b_Bekwil_Makokou,,1.71801,14.6527,bekw1242,,Bekwil
A85b_Bekwil_Mv,A85b_Bekwil_Mv,,1.71801,14.6527,bekw1242,,Bekwil
A86c_Mpiemo,A86c_Mpiemo,,3.45776,15.5246,mpie1238,,Mpiemo
A87_Bomwali,A87_Bomwali,,1.71005,15.9546,bomw1238,,Bomwali
A91_Kwakum,A91_Kwakum,,4.34393,13.6446,kwak1266,,Kwakum
A93_Kako,A93_Kako,,3.79989,15.6282,kako1242,,Kako
Aghem_Grassfields,Aghem_Grassfields,,6.38956,10.0807,aghe1239,,Aghem
B11a_Mpongwe,B11a_Mpongwe,,-1.48741,9.50247,myen1241,,Myene
B11b_Orungu,B11b_Orungu,,-1.48741,9.50247,myen1241,,Myene
B11c_Galwa,B11c_Galwa,,-1.48741,9.50247,myen1241,,Myene
B11d_Dyumba,B11d_Dyumba,,-1.48741,9.50247,myen1241,,Myene
B11F_Enenga,B11F_Enenga,,-1.48741,9.50247,myen1241,,Myene
B201_Ndasa,B201_Ndasa,,-2.449015,13.369465,ndas1238,,Ndasa
B202_Sigu,B202_Sigu,,-0.95605,13.1214,sigh1238,,Sighu
B203_Samaye,B203_Samaye,,-0.012,13.61,osam1235,,Osamayi
B204_Ndambomo_Li,B204_Ndambomo_Li,,-0.82,12.77,ndam1254,,Ndambomo
B204_Ndambomo_Massoukou,B204_Ndambomo_Massoukou,,-0.82,12.77,ndam1254,,Ndambomo
B204_Ndambomo_Mbadi,B204_Ndambomo_Mbadi,,-0.82,12.77,ndam1254,,Ndambomo
B21_Seki,B21_Seki,,1.52302,9.79206,seki1238,,Seki
B22a_Kele,B22a_Kele,,-0.78854,10.3836,kele1257,,Kélé
B22b_Koya,B22b_Koya,,0.882925,14.1345,ngom1270,,Ngom
B22b_Ngom,B22b_Ngom,,0.882925,14.1345,ngom1270,,Ngom
B22E_Mwesa,B22E_Mwesa,,0.086134,13.30037,mwes1234,,Mwesa
B23_Mbangwe,B23_Mbangwe,,-2.28729,13.5956,mban1268,,Mbangwe
B24_Wumbvu,B24_Wumbvu,,-2.39234,12.264,wumb1242,,Wumbvu
B25_Kota,B25_Kota,,1.016,13.97,kota1274,,Kota (Gabon)
B251_Shake,B251_Shake,,0.25188,11.787,sake1247,,Sake
B252_Mahongwe,B252_Mahongwe,,0.64356,14.0472,maho1248,,Mahongwe
B301_Viya,B301_Viya,,-1.16762,12.32251,bubi1250,,Bubi
B302_Himba,B302_Himba,,-1.28107,11.1783,simb1254,,Simba
B304_Pinzi,B304_Pinzi,,-1.90305,11.223,pinj1243,,Pinji
B305_Vove,B305_Vove,,-1.16762,12.32251,bubi1250,,Bubi
B31_Tsogo,B31_Tsogo,,-1.55469,11.1359,tsog1243,,Tsogo
B32_Kande,B32_Kande,,-0.00776,11.7076,kand1300,,Kande
B404_Ngubi,B404_Ngubi,,-3.433411,10.768112,ngub1239,,Ngubi
B41_Shira,B41_Shira,,-1.78084,10.4635,sira1266,,Sira
B42_Sangu_Mb,B42_Sangu_Mb,,-1.52694,11.9098,sang1333,,Sangu (Gabon)
B42_Sangu_Mi,B42_Sangu_Mi,,-1.52694,11.9098,sang1333,,Sangu (Gabon)
B43_Punu,B43_Punu,,-2.67362,11.6714,punu1239,,Punu
B44_Lumbu,B44_Lumbu,,-3.37917,11.124,lumb1249,,Lumbu
B501_Wanzi_E,B501_Wanzi_E,,-1.51945,12.8951,wand1266,,Wandji
B501_Wanzi_Mo,B501_Wanzi_Mo,,-1.51945,12.8951,wand1266,,Wandji
B503_Vili,B503_Vili,,-2.752859,10.305563,vili1239,,Vili of Ngounie
B51_Duma,B51_Duma,,-0.91927,13.0046,duma1253,,Duma
B51_Duma_La,B51_Duma_La,,-0.91927,13.0046,duma1253,,Duma
B52_Nzebi,B52_Nzebi,,-2.18115,12.7063,njeb1242,,Njebi
B53_Tsaangi_Poungi,B53_Tsaangi_Poungi,,-2.29245,12.7581,tsaa1242,,Tsaangi
B601_Lempini,B601_Lempini,,-0.477445,14.2877,mber1257,,Mbere-Mbamba
B602_Kaningi_Nord,B602_Kaningi_Nord,,-1.71316,13.6111,kani1279,,Kaningi
B602_Kaningi_Sud,B602_Kaningi_Sud,,-1.71316,13.6111,kani1279,,Kaningi
B62_Mbaama,B62_Mbaama,,-2.75341,13.617,omba1241,,Ombamba-Congo
B63_Ndumu,B63_Ndumu,,-1.67033,13.7279,ndum1239,,Ndumu
B701_Atsitsege,B701_Atsitsege,,-2.03393,13.6001,tchi1245,,Tchitchege
B71a_Teke_Dj,B71a_Teke_Dj,,-1.61688,14.8664,teke1275,,Latege
B71a_Teke_Os,B71a_Teke_Os,,-1.61688,14.8664,teke1275,,Latege
